,Company,Position
72,Tesi (FII) ,Investment Analyst
73,Samsung Venture Investment,Senior Director Investments
74,European,"Growth company investments - Equity, quasi-equity, venture debt"
75,UpCloud,Head of Product
76,Erevena,Partner
77,Innovestor Ventures,Partner
78,Tesi (FII),Investment Analyst
79,UpCloud,Head Of Support
80,UpCloud,Head of People Operations
81,Hitachi ABB Power Grids,Tendering Manager
82,Finnvera Plc,CEO
83,NordicNinja VC,Associate Director
84,Yeply Oy,CEO & Co-founder
85,MariaDB Foundation,Chief of Staff
86,Fazer,Head of Research
87,Howspace,CEO
88,Kiosked,"Founder, Chief Executive Officer & Board"
89,Dispelix Oy,"Executive Vice President, Sales"
90,Atlantic Bridge,Partner
91,Inklusiiv,Founder
92,Nordic Secondary Fund,Founding Partner & Managing Director
93,MariaDB Corporation Ab,Member Board of Directors
94,Servitium,Private Investor
95,Silo AI,"VP, Business Development, New markets "
96,Tesi (FII) ,Junior Analyst
97,Deutsche Bank,Director
98,Varjo,Head Of Communications
99,PayiQ,Chief Product Officer
100,Tesi (FII) ,"Investment Manager, Venture Capital"
101,Varjo,Chief Financial Officer
102,ETF Partners,Investment Manager
103,Bob W.,Co-Founder & CEO - We're hiring!
104,NordicNinja VC,Managing Partner
105,RetexPanels,Founder & CEO
106,Tesi (FII) ,Senior Legal Counsel
107,GCA Altium,M&A Associate
108,Kreos Capital,Vice President
109,Silicon Valley Bank,Vice President
110,Aethon Partners,Co-Founder
111,Ciriot Inc.,"CEO, Founder"
112,VALOR Partners Oy,Analyst
113,Isomer Capital,Founder and Managing Partner
114,Consulate General of Finland in Los Angeles,Trade Commissioner Trainee
115,Calqulate,"CEO, co-founder"
116,BASE10 Uppsala,Co-Founder & CEO
117,Private Capital Development ,Associate: Marketing & Communications 
118,ServiceNow,"Sr. Director, Product Management"
119,KeyHire,Founder & Partner
120,Tesi (FII) ,Communications Specialist
121,ViLiKe,Founder
122,,
123,Leader Point Oy,"Leadership Consultant, Executive Coach"
124,Westwood & Wilshire LLC,"Executive Recruiter & Director, International Practice"
125,Corporate Board Services,Chairman
126,Raw Selection,Resourcing Principal / Private Equity / Portfolio Companies - UK/EU/USA
127,MariaDB Corporation,Account Executive
128,UpCloud,CFO
129,Ferovalo Oy,"Managing Director, Founder"
130,Helsinki Business Hub,"Senior Business Advisor Invest (Life Sciences; Med Tech, Pharma). For Greater Capital Helsinki area."
131,Tesi (FII),Investment Management Specialist
132,"KOMATSU, Ltd","Managing Director, office of CTO@Silicon Valley"
133,DNX Ventures,Managing Director
134,Woodside Capital,Managing Partner
135,SecureAuth Corporation,APJ Regional Sales Manager
136,Battery Ventures,Venture Investor
137,Mind the Bridge,Founder &  CEO
138,Wideal Oy,Managing partner
139,"Dispelix USA, Inc.",Chief Executive Officer
140,TTV Capital,Partner
141,Sparkmind.vc Ltd,Managing Partner & CEO
142,Nokia,RF Product Program Manager
143,Business Finland,Funding Advisor
144,Courage Ventures Funds,Venture Partner
145,Fortum,"CEO and Head of Business Unit Kotimaan Energia, Consumer Solutions"
146,Woodside Capital Partners,Managing Director
147,Odin,Co-Founder
148,Business Finland,"Innovation Executive-Future Mobility, Space, Quantum Computing, 5G, Digitization & Full Autonomy"
149,Fortum,Head of External Venturing
150,Valo Ventures,Principal
151,Valo Ventures,Partner
152,Artisanal Ventures,"Co-Founder, Partner"
153,Good Sign Solutions,CEO and Founder
154,Metsä Board,"Packaging Services Director, EMEA"
155,Revolut,Product Owner
156,PitchBook Data,Business Development Associate
157,Business Finland,"Director, International Operations, Invest in Finland"
158,Lightning Capital,General Partner
159,Azafran Capital Partners,Managing Partner
160,M-Files Corporation,Customer Success Program Manager
161,ResultElf,Co-Founder & CEO at ResultElf
162,Sentica ,Investment Analyst
163,MCF Corporate Finance,Partner
164,Kiuas,Head Of Partnerships
165,SensorFleet,CEO
166,Basemark,Chief Sales Officer
167,Icebreaker.vc,Venture Capital Analyst
168,Consulate General of Finland in Los Angeles,Trade Commissioner (Team Finland Coordinator for Games & Esports)
169,Midaxo,Engineering Operations Manager
170,Karion Oy,Entrepreneur
171,smartworks innovation,Managing Director
172,Dispelix Oy,HR Operations Specialist
173,Nosto,CEO
174,GR Capital,Managing Director
175,NASDAQ STOCKHOLM AB,Board Member
176,"Centre for Economic Development, Transport and the Environment",Head of Office
177,L&CO Value Accelerator,Founder and CEO
178,Translink Corporate Finance,Analyst
179,Business Finland,Senior Advisor - Startups & Growth Capital
180,Alpha Partners,Managing Partner
181,Dispelix Oy,General Counsel
182,Focuzd Oy,"M&A, Sales, Business Development, Yrityskaupat, Myynti, Liiketoiminnan kehittäminen"
183,Midaxo,Chief Financial Officer
184,UpCloud,CMO
185,Wärtsilä,"Senior Manager Partnering, Digital Ventures"
186,Target Headhunting Oy,"Headhunter, Outplacement Coach & Performance Management Trainer"
187,Priceff,Board Member
188,Messusäätiö rs.,Board Member
189,Finnadvance,Chief Scientific Officer
190,Valtti,Sales Manager
191,Tesi (FII) ,Investment Manager
192,InHunt Group,Senior headhunter
193,Cimcorp Group,Head of Group Business Control
194,Wolt,Strategy & Business Operations Manager
195,Maki.vc,Investment Director
196,Minterest Finance,Talent Partner
197,Nasdaq Helsinki,Relationship Manager
198,GroveStreet,Managing Partner
199,GCA Altium,Managing Director
200,Sievi Capital Oyj,Investment Director
201,Swedbank,Head of Corporate Finance Finland
202,Viestintätoimisto Bravura Oy,Osakas
203,Turun Kauppaopetussäätiö - Foundation for Business Education and Research in Turku,Board Member; Chair at Investment Committee; Member at RE Development Committee
204,Carnegie Investment Bank,Investment Banking
205,Optomed Plc,Vice President Marketing
206,Nasdaq,Surveillance Analyst
207,Optomed Plc,Head of Finance and Accounting
208,Tesi (FII) ,Investment Analyst
209,Verve Ventures,Head International Investments
210,Millennium,Investor & Mentor
211,Navigil Ltd,President / CEO
212,Business Finland,BF Connection - Product Owner
213,PwC Serbia,Senior Manager for Startups and Corporate Innovation
214,Everfill,Chief Executive Officer
215,Enter Espoo,Chief Executive Officer
216,Someturva,Co-Founder & Head of Partnerships
217,Klinik Healthcare Solutions,Director of Medical Development
218,Aktia,Equity Advisor
219,Lentola Logistics Oy,Chief Executive Officer
220,SportaPost Oy,CEO / Founder
221,Jolla,Chief Executive Officer
222,Nordea,Senior Relationship Manager
223,Nordea,Relationship Manager / Asiakasvastuullinen johtaja at Nordea Startup & Growth
224,Privanet,Private Banker
225,eMabler- The eMobility Enabler,Co-Founder & CEO
226,NordicNinja VC,Managing Partner
227,Castrén & Snellman,Partner
228,Soletair Power,"CEO, Partner"
229,Reima,CEO
230,Finnadvance,CEO
231,Temotek Palvelut Oy,Board Member
232,Industrifonden,CEO
233,NFT.VC,Partner
234,Air0 - Breathe Finland,Founder & CEO
235,Tesi (FII) ,Investment Analyst
236,Optomed,Vice President Devices
237,Maki.vc,Investment Director
238,Connected Capital,Managing Partner
239,Connected Capital,Associate
240,DN Capital,Investment Manager
241,KPMG Finland,Head of Capital Advisory
242,Leadoo Marketing Technologies,CEO
243,Camunda,"Marketing Manager - Demand Generation & Events, North America"
244,Enter Espoo,"Director, Innovation, Growth & Invest In"
245,Castrén & Snellman,Partner
246,,
247,OP Financial Group,"Director, Head of Credit Management"
248,LocalTapiola General Mutual Insurance Company,Head of Corporate Lending
249,ELC Finland Oy,Principal
250,Oma Säästöpankki Oyj,"Manager, Corporate Banking"
251,Kuopion kaupunki - City of Kuopio,Invest in Specialist
252,Helsinki Blockchain Center,Chief Executive Officer
253,Belled Oy,Energy Effiency Professional and Co-Founder
254,Iron Lakes,Founder and CEO
255,MongoDB,VP of Engineering
256,Insightia Finland,Innovation & Business Development Consultant & Trainer
257,KPMG Finland,Head of Transaction Services
258,The Qt Company,New Ventures & Corporate Development
259,FITech Network University,"Upgrading my skillset in Machine Learning, Python, Databases, SQL, Blockchain (Aalto, ÅA, LUT)"
260,UpCloud,Business Analyst
261,Tesi (FII) ,Investment Analyst - Fund Investments
262,Stifel Financial Corp.,Managing Director 
263,Silicon Vikings,CVO
264,Neumann,Advisor
265,BOLT.works,Co-Founder
266,Hookle,CEO
267,Zervant,VP Product
268,Kamoon Digital Oy ,"Consultant, Partner"
269,Aurora Propulsion Technologies,CFO
270,Sumitomo Mitsui Banking Corporation,Senior Vice President of Global Advisory Department
271,Midaxo,Vice President of Global Sales
272,byNordic Acquisition Co.,Co-founder and Director of Technology
273,K1 Investment Management,Managing Partner
274,Rohkiat Oy,Chairman Of The Board
275,HackerX,Recruiting Events and Sponsorships Manager
276,MaaS Global Ltd,Head Of Strategic Planning
277,Pindora Oy,Chief Executive Officer / Founder
278,Loupedeck,Chief Executive Officer and Founder
279,Sumitomo Mitsui Banking Corporation,"Director, Technology Media & Telecoms Research"
280,Business Finland,"Senior Director, Region Head"
281,Minima Processor Oy,"CTO, Founder"
282,Minima Processor,"CEO, co-founder"
283,Digitalist Group & Network,Finance Manager
284,Midaxo,Software Architect
285,VTT,EIT Food Accelerator Program Lead
286,F-Secure Corporation,Office Services Assistant
287,Combient,"Business Developer, Foundry"
288,Saga Furs Oyj,Senior Communications Manager
289,3M,"Investment Manager, 3M Ventures"
290,Pallas Rakennus Oy,Chairman Of The Board
291,Sensible 4 Oy,Investor Relations Manager
292,BC Platforms,CEO
293,Intel Corporation,"Investment Director, Intel Capital EMEA"
294,Saari Partners Oy,Founding Partner
295,Nordic XR Startups,Managing Director
296,Boier Capital OY,Partner
297,Dazzle Rocks,COO and Co-founder
298,BioSerenity,Group CFO
299,Utopia Music ,Chief Executive Officer
300,PwC,Financial Services Associate
301,Sky,Head of Investments | Sky Ventures
302,Midaxo,"Director, Strategic Partnerships EMEA/APAC"
303,Sky,Senior Investment Manager (Venture Capital)
304,University of Oulu,Professor
305,"Valencell, Inc.",Board Member
306,Optomed ,Chief Legal Officer
307,Sontek Ventures Oy,"CEO, Partner"
308,New Line Technologies,CBDO (Chief business development officer) at New Line Technologies
309,,
310,Hartwall,HR Specialist
311,Japanese Data Center for Hematopoietic Cell Transplantation (JDCHCT) ,Advisor
312,Vaisala,Product Manager
313,Fondia Oyj,Senior Legal Counsel
314,Hannes Snellman,Partner
315,Voima Ventures,Partner
316,Gartner,"Principal, Research"
317,Enfuce,Chief Financial Officer
318,Hexagon Manufacturing Intelligence,EVP Global Marketing & Sales
319,Vastuu Group Oy,Chief Architect
320,Nosto,CFO
321,August Associates,Director
322,Goldman Sachs,Incoming Investment Banking London
323,JNT,Sales Account Manager
324,Icareus Ltd.,"Business Director, Technologies"
325,Schiff Hardin LLP,Partner
326,NEXT Biometrics,CEO
327,Alibaba Group,Staff Engineer
328,SlashDB,Founder and CEO
329,Gartner,"Research Vice President, Big Data & Advanced Analytics"
330,Union Square Advisors,"Partner, Chief Operating Officer and Head of M&A"
331,MariaDB Corporation,NAM CSM/Renewal Rep
332,Superhero Capital,Investment Manager
333,CapMan,Investment Associate
334,Santander Consumer Finance Oy,Partner Development Manager
335,InHunt Group,Senior Headhuter
336,Silvere,Business Controller
337,"Borenius, Finland","Counsel, Head of China Desk"
338,ZeroLight,Senior Graphics Engineer
339,Aalto University,University Lecturer
340,Borenius Attorneys Ltd,Partner
341,,
342,RADAR AI limited,Non-Executive Chairman
343,Growth Tribe Academy,"CEO, Partner  / Finland"
344,Nordic Knowledge Partners,CEO & Founder
345,Turun yliopisto - University of Turku,University Lecturer in Marketing
346,Cyborvent Oy,Chief Executive
347,MCMC Technologies Ltd.,Partner
348,Valossa Labs Oy,CEO and Founder
349,Nordic Business Forum,"Account Manager, Partnerships"
350,Alko Oy,Chief Architect
351,Dispelix Oy,Chief Financial Officer
352,Fondia Oyj,Senior Legal Counsel
353,Liquibase,Business Development Representative
354,KPMG Oy Ab,Advisor
355,Sulapac Ltd,CFO
356,Saxenhammer & Co.,Director Investment Banking
357,Growth Tribe,Growth & Data Consultant
358,Stealth Black Oy,"CEO, Co-Founder"
359,Midaxo,Chief Customer Officer
360,Optomed Plc,Logistics Coordinator
361,Smartius Ltd,Legal Counsel
362,Polystream,Board Member
363,HighBar Partners,Co-Founder & Partner
364,InHunt Boards Oy,CEO
365,Takeda,Head (interim) | Center of Excellence for Innovation and Evidence Generation Nordics
366,Innovation News Network,Head of Platform
367,BayWa r.e. renewable energy GmbH,Senior Associate @ BayWa r.e. Energy Ventures
368,Apila Group Ltd,"Board Member,  Partner"
369,Brightly Ventures,Principal
370,Eurazeo,Growth Equity Investor - Eurazeo Growth
371,FLEXOUND The Augmented Audio Company,CEO
372,Faurecia Security Technologies,Managing Director
373,Idinvest Partners,Managing Partner
374,BayWa r.e. renewable energy GmbH,Managing Director at BayWa r.e. Energy Ventures GmbH
375,Idinvest Partners,Operating Partner
376,Coptersafety,Group CEO
377,Tesi (FII) ,CFO
378,3M,"Director, Strategy and Business Development - Transportation & Electronics Business Group"
379,Harvia,Vice President Marketing
380,Trind Ventures,Partner
381,Gartner,Director
382,Zscaler,Regional Sales Manager
383,Broadius Partners Oy,"Partner, Co-founder"
384,Nordic FoodTech VC,Partner
385,IQM Finland Oy,Chief Operating Officer
386,IQM Quantum Computers,CEO & Co-Founder
387,Reaktor,"Director, Ecosystem Development"
388,PwC Suomi,Board Member
389,Aalto University,Associate Professor (tenured)	of Quantum Technology
390,British and Commonwealth Chamber of Commerce in Finland,Executive Director
391,Tesi (FII) ,Financial Controller
392,Profit & Exit Solutions Oy Ltd,Chief Executive Officer
393,Elisa,Startup Analyst
394,Finnish Business Angels Network (FiBAN),Managing Director
395,Eficode,CFO
396,InHunt Group,Senior Headhunter
397,LifeEdu,Chairman
398,Earlybird Venture Capital,Managing Partner
399,Odgers Berndtson,"Partner, Chairman Odgers Berndtson Finland"
400,UCL,Honorary Professor in Management
401,ARBORA GLOBAL CAREER PARTNERS,Global Chairman
402,Wärtsilä,Interim Head of Talent and Leadership
403,Kasvuryhmä,Member
404,Qentinel Group,CEO
405,PlusTerveys Oy,Chairman Of The Board
406,Technology Academy Finland (TAF),Chief Executive Officer
407,Flashpoint Venture Capital,Managing Partner / Co-founder
408,Nosto,CTO & Founder
409,CapMan,Partner
410,Nokia,Partner Sales Manager Nordics & Baltics
411,Philips,"Senior Program Manager, M&A Integration - Strategy, M&A and Partnerships"
412,FindIce Ltd.,Chief Executive Officer
413,Dispelix Oy,CPO - Product Management & Supply Chain
414,Nokia,"Director, M&A"
415,Daimler,"Manager, M&A Subsidiary Management"
416,Pegasystems,Product Manager
417,SOITEC,Board Member
418,DevCo Partners Oy,Founding Partner
419,Tesi (FII) ,Chief Digital Officer
420,Valmet,Business Intelligence and M&A Analyst
421,Cherry Ventures,Founding Partner
422,Finsbury Glover Hering,Director Finsbury Glover Hering
423,Cherry Ventures,CFO & Operating Partner
424,Wirepas,Chief Financial Officer
425,Business Finland,Head of AI Business 
426,Yle,Procurement Specialist at Yleisradio
427,Keypoint - Photonics Company,Marketing Designer
428,FORCIOT,"CBO & Chairman of the Board of Directors, Co-Founder"
429,Renoa,Board Observer
430,Bain & Company,Associate Consultant
431,Home & Gardening & sip of Wine,Freelance Business Developer & Hired Gun for improving your business
432,Convergence Partners AG,Founding Partner
433,Circulos Oy,"Vertaispöydän™ puhemies, Chairman"
434,Pauhu Ltd – Native Translations for Marketers,Verkställande direktör
435,MIT Sloan School of Management,Professor of the Practice
436,Momentum Helsinki,Co-Founder
437,Cluby,Co-Founder
438,Arction Ltd - LightningChart® Data Visualization Tools,Chairman Of The Board
439,Equilibrium,Software Developer
440,MariaDB Corporation,EMEA Partner Manager
441,Sales Force Europe (SFE),Founder | CEO
442,The Upright Project,Founder & CEO
443,Tahko-Bungalows Oy,Managing Director
444,ICEYE,Co-Founder
445,Superhero Capital - Looking for the next Superheroes,Partner
446,DLA Piper,Counsel
447,Horizon Communications,Principal
448,Robert Bosch Venture Capital GmbH (RBVC),"Managing Director, Executive Vice President Technology"
449,Nosto,Founder & Global Head of Corporate Development
450,acccoi partners GmbH,Affiliate Partner
451,Solved - The Cleantech Company,CEO & Co-founder
452,Smartly.io,Engineering Director
453,Datasite,Sales Director
454,LinkSquares,Account Executive
455,PitchBook Data,Business Development Manager
456,Bain & Company,"Manager, Solutions | Data Ventures"
457,Ilmatar,Controller
458,Lockheed Martin Mission Systems and Training,Software Engineer Manager
459,Datank.ai,Co Founder and CEO 
460,Fortis Life Sciences,Sr. Director Customer Success
461,Grundfos Holding A/S,Chief Business Development Manager
462,PayPal,Head of Advanced Analytics and Insights
463,Profium,CEO
464,GE,Finance and HR Analytics Leader
465,Laura Karppanen,"Founder, Photographer"
466,ETLA,Researcher
467,Research Institute of the Finnish Economy (ETLA),Research Director (retired) (previously Head of Research and Research Fellow)
468,Tesi (FII) ,Investment Manager
469,Norsepower Oy Ltd,"CEO, Partner"
470,3TS Capital Partners,Managing Partner
471,Aalto University School of Science and Technology,"Researcher, PhD Candidate"
472,Rovio Entertainment Ltd.,Chief Technology Officer
473,Wave Ventures,CEO
474,Axis Security,Enterprise Account Executive
475,Finnish Minerals Group,Senior Project Advisor
476,Business Sweden,"Director, Invest Advisory, Greater China"
477,Terrafame Ltd,Member of the Board of Directors
478,American Football Association of Finland,Head Of Communications
479,tmi Erviälä,Software Engineer
480,ReadyFireAim,Owner
481,Foodmail Finland Oy,CINO Viilea
482,SuperApp Oy,Chairman Of The Board
483,Solar Foods Oy,"Chief Technology Officer, Partner & Founder"
484,Mission Innovation,MI Champion
485,UniqAir,Business Development
486,Nordhaven Corporate Finance,Managing Partner
487,Bonusway,"Co-Founder, Chairman of the Board"
488,Hallituspartnerit Helsinki,Chairman Of The Board
489,Verso Food - makers of Beanit® and Härkis®,CEO
490,Ductor Corp.,CFO
491,MariaDB Corporation,Principal Engineer
492,"Plannuh, Inc.",Account Executive
493,Mindmarker,Head Of Sales
494,Green Elephant Oy,CEO
495,Nokia,SoC Program Manager
496,UNOPS,Senior Analyst for Communications and Host Country Relations
497,Aiven,CEO and Co-founder
498,Nordea,Head of Startup & Growth business unit in Nordea Finland
499,KPMG Finland,Head of Startup Services
500,aito.ai (Aito Intelligence Oy),"Co-Founder, CGO"
501,NewCo Helsinki / City of Helsinki,Ecosystem Developer (Smart & Clean)
502,Mezzoforte Oy - Huutokaupat.com,"Manager, Housing and Real Estate"
503,VIA equity,Managing Partner
504,3J Partners Oy,Partner
505,EntoCube,Co-Founder & COO
506,Ramboll,Geotechnical Engineer
507,Nordic Morning,Agency Director Helsinki
508,InHunt Group,"Headhunter, Area Director"
509,iconicchain,Co-Founder & CEO
510,University of Helsinki,Post-doc Researcher / Teacher
511,Bank of Finland (Suomen Pankki - Finlands Bank),Senior Economist
512,Bank of Finland (Suomen Pankki - Finlands Bank),Senior Economist
513,SAP,Solution Sales Executive | Platform & Technologies
514,Accel,Investment Team
515,Elämys Live,Board Member
516,WheelQ,CCO at WheelQ
517,Mandatum Asset Management,"Senior Portfolio Manager, Loan strategies"
518,Newborn Ventures Ltd.,"Founder, CEO"
519,Hotel Haaga Central Park,Member of the Board
520,Schwarz Dienstleistungen,Junior Auditor International Real Estate Management and Procurement
521,Leader Potential Group Oy,"Senior Partner, Executive Coach"
522,Bocap Group,"Investment Director, Partner"
523,Corellia Helsinki Oy,"Senior Trainer & Consultant at Corellia, Microsoft Certified Trainer"
524,NASDAQ OMX Helsinki,Director
525,Nordea,"Expert Communication Officer, Marketing & Communication in Finland, Personal Banking"
526,Nasdaq,"Vice President European Equities, President Nasdaq Helsinki"
527,Danske Bank,Head of Large Corporates & Institutions Finland
528,North Advisors,CEO & Partner
529,Capgemini Invent,Management Consultant
530,Nemlia,Chief Executive Officer
531,LifeLearn Holdings Pte. Ltd.,CEO
532,Business Finland,Procurement Advisor at Business Finland - the Finnish Funding Agengy for Innovation
533,Bridge Impact Oy,"Partner, Capability Designer, Senior Headhunter"
534,Bank of America Merrill Lynch,Investment Banking Summer Analyst
535,Profit Software Ltd,Senior Vice President
536,Yicai Global,Head of Social Media Team
537,Naava,"Co-founder & Strategy, Board Member"
538,Örum Oy Ab,Group CFO
539,Headai,Communications Manager
540,"Pharus Advisors, LLC",Co-Founder and Senior Managing Director
541,Zadaa,Founder & CEO
542,Irdeto,"VP, Business Development, Denuvo | SaaS | B2B | Strategic Partnerships & Sales | PC & Mobile Games"
543,Picosun Oy,Deputy CEO
544,Moosedog Oy,CEO
545,HeadAI,COO / Founder
546,Capgemini,"Global Content Marketing Lead, Insights & Data and AI"
547,Timberwise Oy,Sales Director
548,Camping World,Chief Financial Officer - Retail
549,Hukka AI,Master's Thesis Worker
550,IPRA Technologies Ltd.,CEO & Co-Founder
551,InHunt Group,Senior Headhunter
552,TillaCare Ltd,member Board of Directors
553,InHunt Group,Senior Headhunter / Area Director
554,Profit Software Ltd,"Senior Vice President, Pension and Insurance Solutions"
555,Vainu,"Country Manager, Finland"
556,Consulting Agency,"Management Consultant, Fintech"
557,Niemen Tehtaat Oy,Member of the Board of Advisors
558,Qualdatrix Ltd.,CEO & Co-Founder
559,CGI,"Senior Consultant, IAM"
560,DocPlanner,Country Manager Spain
561,Codescoop Oy,CTO & Co-founder
562,Debiopharm Group,Director Debiopharm Innovation Fund
563,GoFinance.fi,Founder and CEO
564,Futuriot,"VP, Analytics & Marketing, co-founder, COB"
565,Tekoäly kuuluu kaikille +358-50 5213745,Entrepreneur
566,Ellie Technologies,Executive Chairman
567,Futuriot,CTO & co-founder
568,Meetingpackage.com,VP Sales
569,EY,"Senior Analyst - TMT M&A, UK"
570,Kyrö Distillery Company,Co-Founder & CEO
571,KM Nordic Invest AG,Managing Partner - Chairman of the Board
572,Työ- ja elinkeinoministeriö – Ministry of Economic Affairs and Employment (Finland),Steering Committee Member
573,Attractive.ai,Founder and COO
574,LearnCove,CEO
575,Innovestor,CEO
576,eQ Fund Management  Company ltd,Managing Director
577,eQ Private Equity GP Ltd,Member of the Board of Directors
578,InfraVia Capital Partners,Partner
579,Sensible 4 Oy,Chief Operating Officer
580,Sensible 4,CEO
581,VividWorks,Chief Executive Officer
582,Signium,"Senior Consultant Executive Search, Helsinki and Stockholm"
583,XMLdation Ltd,COO & Founder
584,Tableau Software,"Vice President, Solution Engineering"
585,Virvavr Oy | P I K S E L I,CEO
586,Lifeline Ventures,Partner
587,InfinitiLaw,Attorney
588,Korkia,Executive Vice President
589,4FRONT,"Senior Partner, Chairman of the Board"
590,Tampere University Hospital,Chief Executive Officer
591,Langen AG,"Founder, Managing Partner"
592,Citi,Investment Banking Analyst
593,Fenno Attorneys at Law,"Director, business clients"
594,Cityvarasto Oyj,"CEO & Main Owner, toimitusjohtaja & pääomistaja"
595,Hanken & SSE Executive Education,Commercial Director
596,Seulo Palvelut Oy,Member of the Board
597,eQ Plc,Director at eQ Asset Management
598,MeetingPackage,CEO & Founder
599,New Nordic School,Co-Founder & CEO
600,Sportspot Oy - The biggest influencers in sports,"Sales Director, partner"
601,Wise IT Finland,Business Development and Recruitment Consultant
602,Roschier,COO
603,Zen-Me,"Founder, CEO"
604,"Procopé & Hornborg Ltd, Attorneys at Law","Chairman of the Board, Partner"
605,ABB,Group Vice President - Head of Communications
606,Excel Academy Charter Schools,Co-Chairman Of The Board
607,Esa Investment Oy,Founder and CEO
608,Grannenfelt Finance Oy,Partner
609,Valjas,CFO & Advisory Services
610,Alexander Corporate Finance Oy,Director
611,ControlThings Oy Ab,Managing Director
612,Toivo Group Oy,"Vice President, Head of Finance and Risk Management"
613,Dittmar & Indrenius,Partner
614,Varjo,CEO
615,Varma,Communications Manager
616,Tesi (Finnish Industry Investment),"Director, Funds Investments"
617,Amazon Web Services (AWS),"Head of Startup & VC Business Development, Nordics & Benelux"
618,Actire Accounting Services / Actire Taloushallintopalvelut,"CEO & Co-founder, Entrepreneur"
619,Midinvest Management,CEO
620,IPR.VC,"Founding Partner, Chairman"
621,Tamturbo,CEO
622,Leadfeeder,Head of People & Talent
623,Ilmastorahasto - The Finnish Climate Fund,Director - Private companies
624,Huawei Technologies,"Director, Corporate Development"
625,Business Finland,Service Manager of the Horizon 2020 Services & Coordinator of the Finnish H2020 NCP network
626,Supermetrics,CEO & Founder
627,Kyyti Group,COO
628,Kyyti Group,CEO
629,BDI WEAR PARTS,Technical Manager
630,Finnvera Oyj,Finance Manager
631,"Finnvera Oyj, Venture Capital",Investment Director
632,Salesforce,Solutions Engineer - Financial Services 
633,Visma,Communication Strategist
634,Handelskammer Finnland-Schweiz,Board Member
635,Piceasoft Ltd,Vice Chairman
636,NOFI-Norwegian-Finnish Trade Association,Member of the Board of Directors
637,To be defined,Entrepreneur
638,Supercell,Programmer
639,Drop,Product Manager
640,Emerald Technology Ventures,Managing Partner
641,Cintoia,Co-Founder
642,Ross Republic,"Sr Advisor, New Ventures"
643,Sulapac Ltd,CEO and Co-founder
644,Real Chemistry,Board Member
645,FXP,Founding Partner
646,Delta Cygni Labs,"Co-Founder, CTO"
647,Curious AI ,CEO
